Mtu Mprotestanti anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mprotestanti mmoja alimpenda mkuu wa shule.	Mtu mchafu alipenda mkuu wa shule.
Mprotestanti mmoja alibadilisha televisheni.	Mtu fulani mwenye pupa alibadilisha televisheni.
Mtu mmoja Mprotestanti alikula keki.	Mtu safi alikula keki.
Mtu Mprotestanti anamiliki gari.	Mtu mwenye udanganyifu huwa na gari.
Mtu Mprotestanti anamiliki shati.	Mtu mwenye kiburi anamiliki shati.
Mprotestanti alimtembelea mtu mzima.	Mtu dhaifu alimtembelea mtu mzima.
Mprotestanti alimkatiza kaisari.	Mtu mbaya alimkatiza kaisari.
Mprotestanti alichukia mgeni.	Mtu mwenye nguvu alichukia mgeni.
Mtu mmoja Mprotestanti alimwita amirali.	Mtu asiye na ucheshi aitwaye admiral.
Mprotestanti mmoja alizungumza na ofisa wa serikali.	Mtaalamu alizungumza na mwanakondoo.
Mtu mmoja Mprotestanti alilipa kwa ajili ya roll.	Mtu mchafu alilipa kwa ajili ya roll.
Mtu Mprotestanti anamiliki simu.	Mtu mbaya anamiliki simu.
Mprotestanti mmoja alikutana na msimamizi.	Mtu mwenye chuki alikutana na meneja.
Mtu Mprotestanti anaweza kumudu koti.	Mtu mkarimu anaweza kumudu koti.
Mtu Mprotestanti anaweza kumudu tanuri.	Mtu mwenye hekima anaweza kumudu tanuri.
Mtu wa Kiprotestanti alichukia mfalme.	Mtu mpumbavu alimchukia mfalme.
Mprotestanti alimkatiza kamanda.	Mtu fulani mwenye hila alimkatiza kamanda.
Mtu wa Kiprotestanti alichukia makamu wa rais.	Mtu mbaya alichukia makamu wa rais.
Mprotestanti mmoja alifanya urafiki na meya.	Mtu mwenye fadhili alishirikiana na meya.
Mprotestanti mmoja alifanya urafiki na kasisi.	Mtu dhaifu alishirikiana na kasisi.
Mprotestanti mmoja alifanya urafiki na mtu wa tabaka la juu.	Mtu mwenye haki alipendana na mtu mwenye cheo cha juu.
Mprotestanti alimpenda jenerali.	Mtu mwenye chuki alimpenda jenerali.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu mbaya alibadilisha gari.
Mtu Mprotestanti alilipa kwa ajili ya smoking.	Mtu mwenye udanganyifu alilipa kwa ajili ya suti.
Mprotestanti mmoja aliuza friji.	Mtu mwaminifu aliuza friji.
Mtu Mprotestanti anamiliki benchi.	Mtu mwenye akili ana benchi.
Mtu Mprotestanti alichukia mtu mwenye cheo cha juu.	Mtu mwenye pupa alimchukia mtu mwenye cheo cha juu.
Mtu Mprotestanti alikula apple.	Mtu asiye na ujuzi alikula apple.
Mprotestanti alimtembelea mgeni.	Mtu dhaifu alimtembelea mgeni.
Mtu wa Kiprotestanti alimpenda mtawala wa kimabavu.	Mtaalamu alipenda mtawala wa kimabavu.
Mprotestanti mmoja alimtambulisha meya.	Mtu mbaya alijitambulisha kwa meya.
Mtu mmoja Mprotestanti aliweka bajeti ya toaster.	Mtu mwenye hila aliweka bajeti ya toaster.
Mtu mmoja Mprotestanti alilipa koti.	Mtu mwenye adabu alilipa koti.
Mprotestanti mmoja alimtembelea nahodha.	Mtu mwenye pupa alimtembelea nahodha.
Mprotestanti mmoja alifanya urafiki na koloneli.	Mtu mbaya alijifanya rafiki wa Kanali.
Mprotestanti alilipa kwa ajili ya kiti cha magurudumu.	Mtu mwenye haki alilipa kwa ajili ya kiti cha mkono.
Mprotestanti alibadilisha kiti cha kuandikia.	Mtaalamu alibadilisha kiti cha kuandikia.
Mprotestanti aliokoa bata.	Mtu mwenye fadhili aliokoa bata.
Mprotestanti fulani aliandaa mlo.	Mtu mnyofu alitayarisha mlo.
Mtu wa Kiprotestanti alimpenda msimamizi.	Mtu mwenye akili alipenda msimamizi.
Mprotestanti alibadilisha oveni.	Mtu mwenye nguvu alibadilisha tanuri.
Mtu mmoja Mprotestanti aliokoa mavazi.	Mtu mchafu aliokoa mavazi.
Mtu wa Kiprotestanti aitwaye swami.	Mtu mtukutu aitwaye swami.
Mprotestanti mmoja alimtembelea kasisi.	Mtu mwema alimtembelea padri.
Mprotestanti alikula chakula.	Mtu asiye safi alikula chakula.
Mtu wa Kiprotestanti alikula donut.	Mtu mzuri alitumia donut.
Mprotestanti mmoja alimtambua mtoto mchanga.	Mtu mwenye hasira alibainisha mtoto mchanga.
Mtu mmoja Mprotestanti aliuza vazi.	Mtu mwenye udanganyifu aliuza nguo.
Mtu mmoja Mprotestanti alibadilisha gari moshi.	Mtu mwaminifu alibadilisha gari moshi.
Mtu mmoja Mprotestanti aliitwa mkuu wa kanisa.	Mtu mbaya sana aitwaye mkuu wa shule.
Mtu mmoja Mprotestanti alilipa kwa ajili ya taa.	Mtu mwenye chuki alilipa kwa ajili ya taa.
Mprotestanti alivunja mazungumzo ya babu yake.	Mtu mwenye akili alivunja babu.
Mtu wa Kiprotestanti aliweka bajeti ya kitanda.	Mtu asiye na uvumilivu aliweka bajeti ya kitanda.
Mprotestanti alimaliza kitabu chake.	Mtu mwenye kiburi alimaliza mzunguko.
Mtu mmoja Mprotestanti alimpenda papa.	Mtu mwenye jeuri alimpenda papa.
Mtu mmoja Mprotestanti alimwita rais.	Mtu asiye na uvumilivu alimwita rais.
Mprotestanti aliokoa punda.	Mtu asiye na utani aliokoa punda.
Mprotestanti mmoja alimchukia kijana mmoja.	Mtu mwenye sura mbaya alimchukia kijana.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu asiye safi alibadilisha gari.
Mtu Mprotestanti anaweza kumudu kofia.	Mtu mbaya anaweza kumudu kofia.
Mprotestanti mmoja alitoa mchango wa punda.	Mtu asiye na utani alitoa punda.
Mtu mmoja Mprotestanti alipata babu yake.	Mtu mzuri alijitambulisha kwa babu yake.
Mtu mmoja Mprotestanti aliuza heater.	Mtu mwenye akili aliuza heater.
Mprotestanti mmoja aliuza mbuzi.	Mtu asiye safi aliuza mbuzi.
Mprotestanti mmoja alizungumza na kijana mmoja.	Mtu mwenye kiburi alizungumza na kijana.
Mprotestanti alibadilisha nguo.	Mtu mwema alibadilishana nguo.
Mprotestanti mmoja alifanya urafiki na seneta.	Mtu mbaya alijifanya rafiki wa seneta.
Mtu wa Kiprotestanti alichukia aristocrat.	Mtu mwenye hila alimchukia aristocrat.
Mprotestanti mmoja alimtembelea kiongozi wa kanisa.	Mtu mmoja mwenye hila alimtembelea kiongozi.
Mprotestanti mmoja alimtambulisha meneja.	Mtu mwenye akili alipata meneja.
Mtu mmoja Mprotestanti alitoa gari.	Mtu mpumbavu alitoa gari.
Mprotestanti alikutana na mtu mashuhuri.	Mtu asiye safi alikutana na mtu mwenye cheo.
Mprotestanti alikutana na amiri.	Mtu mkarimu alikutana na amirali.
Mtu mmoja Mprotestanti aliuza chakula cha mchana.	Mtu mpumbavu aliuza chakula cha mchana.
Mprotestanti mmoja aliuza kiti cha kuchezea.	Mtu mwenye akili aliuza kiti cha kuegemea.
Mprotestanti aliokoa kuku.	Mtu mpumbavu aliokoa kuku.
Mprotestanti aliokoa ng'ombe.	Mtu mbaya aliokoa ng'ombe.
Mtu mmoja Mprotestanti alinunua sungura.	Mtu safi alinunua sungura.
Mtu mmoja Mprotestanti aliendesha gari la aina ya SUV.	Mtu mwaminifu aliendesha gari la aina ya SUV.
Mprotestanti mmoja alianzisha urafiki na kikundi cha wafanyakazi.	Mtu mkatili alijiunga na kikundi cha wafanyakazi.
Mprotestanti mmoja alimtembelea mtawala.	Mtu mbaya alimtembelea mrithi.
Mtu wa Kiprotestanti aliingia kwenye gari la SUV.	Mtu mzuri alianguka SUV.
Mtu wa Kiprotestanti alijitambulisha kuwa mtawala wa kujitegemea.	Mtu asiyejua kitu alimtambua mtawala wa kujitegemea.
Mtu wa Kiprotestanti aliweka bajeti ya kitanda.	Mtu mbaya aliweka bajeti ya kitanda.
Mprotestanti mmoja aliandaa sandwich.	Mtu mwenye nguvu alitayarisha sandwich.
Mtu mmoja Mprotestanti alibadilisha kifaa cha kuhesabu.	Mtu mkatili alibadilisha mashine ya kuhesabu.
Mprotestanti mmoja alilipa kwa ajili ya friji.	Mtu asiye safi alilipa kwa ajili ya friji.
Mtu wa Kiprotestanti alipenda meneja.	Mtu mwenye akili alipenda meneja.
Mtu mmoja Mprotestanti alimpenda mkuu wa shule.	Mtu mwenye akili alipenda msimamizi.
Mtu wa Kiprotestanti alichukia mtawala.	Mtu mwenye tabia mbaya alimchukia mtawala.
Mtu mmoja Mprotestanti alimtembelea shah.	Mtu mkali alimtembelea shah.
Mprotestanti mmoja alizungumza na mwenye nyumba.	Mtu fulani mwenye hila alizungumza na mmiliki wa nyumba.
Mtu Mprotestanti aliweka bajeti ya taa.	Mtu asiye safi aliweka akiba ya taa.
Mprotestanti mmoja alibadilisha kiatu.	Mtu mzuri alibadilisha kiatu.
Mprotestanti alimkatiza sheikh.	Mtu mjinga alimkatiza sheikh.
Mprotestanti mmoja alianzisha urafiki na kabila fulani.	Mtu mwovu akafanya urafiki na kabila.
Mtu wa Kiprotestanti alimaliza kula burger.	Mtu mpumbavu alimaliza burger.
Mtu mmoja Mprotestanti alimpenda papa.	Mtu mkarimu alimpenda papa.
Mtu mmoja Mprotestanti alilipa kwa ajili ya taa.	Mtaalamu alilipa kwa ajili ya taa.
Mprotestanti mmoja alimtembelea tajiri mmoja.	Mtu mkarimu alimtembelea tajiri.
Mtu mmoja Mprotestanti aliokoa kofia.	Mtu mpumbavu aliokoa kofia.
Mtu wa Kiprotestanti alimchukia gavana.	Mtu mbaya alichukia gavana.
Mtu mmoja Mprotestanti aliandaa burger.	Mtu mwenye akili alitayarisha burger.
Mtu Mprotestanti anamiliki supu.	Mtu mbaya anamiliki supu.
Mprotestanti mmoja alinunua punda.	Mtu mwenye akili alinunua punda.
Mtu mmoja Mprotestanti aliendesha gari la aina ya SUV.	Mtu mwenye akili aliendesha gari la aina ya SUV.
Mprotestanti mmoja alimtembelea hakimu.	Mtu fulani mwenye pupa alimtembelea hakimu.
Mtu mmoja Mprotestanti alitoa sungura.	Mtu mpumbavu alitoa sungura.
Mtu Mprotestanti anamiliki taa.	Mtu mwenye akili ana taa.
Mtu wa Kiprotestanti anamiliki muffin.	Mtu mwenye jeuri anamiliki muffin.
Mprotestanti alivunja mazungumzo ya kijana fulani.	Mtaalamu alivunja mvulana mdogo.
Mtu mmoja Mprotestanti aliuza muffin.	Mtu asiye na elimu aliuza muffin.
Mtu wa Kiprotestanti anaweza kumudu kiamsha kinywa.	Mtu mwenye nguvu anaweza kumudu kifungua kinywa.
Mtu wa Kiprotestanti aliokoa burger.	Mtu asiye na ujuzi aliokoa burger.
Mprotestanti alikutana na mwanakondoo.	Mtu mwenye nguvu alikutana na mwanakondoo.
Mtu Mprotestanti alimpenda bwana.	Mtu mwenye akili nyingi alipenda bwana.
Mtu mmoja Mprotestanti aliuza gari.	Mtu asiye na uvumilivu aliuza gari.
Mtu mmoja Mprotestanti alibadilisha keki.	Mtu mkatili alibadilisha keki.
Mtu wa Kiprotestanti aliweka bajeti ya keki.	Mtu mwenye akili aliweka bajeti ya keki.
Mtu mmoja Mprotestanti aliuza sandwich.	Mtu mwovu aliuza sandwich.
Mtu mmoja Mprotestanti aliuza kamera.	Mtu mwenye pupa aliuza kamera.
Mtu Mprotestanti alichukia mkuu wa kanisa.	Mtu mwenye utaratibu alichukia mkuu wa shule.
Mtu Mprotestanti anamiliki chakula cha mchana.	Mtu mwenye fadhili anamiliki chakula cha mchana.
Mprotestanti mmoja alifanya urafiki na kiongozi wa kiume.	Mtu mwenye utaratibu alifanya urafiki na emir.
Mprotestanti aliuza chakula.	Mtu mwenye hekima aliuza chakula.
Mprotestanti aliokoa farasi.	Mtu mwenye chuki aliokoa farasi.
Mtu mmoja Mprotestanti alitoa gari.	Mtu mpumbavu alitoa van.
Mprotestanti mmoja alifanya urafiki na mwanakondili.	Mtu mwenye akili alianzisha urafiki na mwanakondoo.
Mtu wa Kiprotestanti alikula keki.	Mtu mwaminifu alitumia brownie.
Mtu wa Kiprotestanti aliweka bajeti ya mango.	Mtu safi aliweka bajeti ya mango.
Mprotestanti alikula chakula.	Mtu mwenye kiburi alikula chakula.
Mprotestanti mmoja alifanya urafiki na maliki.	Mtu mbaya sana alifanya urafiki na maliki.
Mtu wa Kiprotestanti alimaliza donut.	Mtu safi alimaliza donut.
Mtu Mprotestanti anaweza kumudu gari aina ya jipu.	Mtu mwenye pupa anaweza kumudu gari la jeep.
Mtu Mprotestanti anamiliki kitanda.	Mtu mwenye utaratibu ana kitanda.
Mtu mmoja Mprotestanti aliokoa gari la aina ya SUV.	Mtu mkarimu aliokoa gari la aina ya SUV.
Mtu wa Kiprotestanti alimpenda swami.	Mtu mwenye utaratibu alipenda swami.
Mtu mmoja Mprotestanti alilipa kwa ajili ya sandwich.	Mtu mwenye pupa alilipa kwa ajili ya sandwich.
Mprotestanti mmoja alimpenda kasisi.	Mtu mwenye akili nyingi alimpenda padri.
Mtu Mprotestanti alikula chakula cha jioni.	Mtu mwenye nguvu alikula chakula cha jioni.
Mtu wa Kiprotestanti alipenda mtawala.	Mtu asiyejua kitu alipenda mtawala.
Mtu mmoja Mprotestanti aliuza keki.	Mtu asiye safi aliuza keki.
Mtu mmoja Mprotestanti alilipa kwa ajili ya taa.	Mtu mpumbavu alilipa kwa taa.
Mprotestanti alimaliza kitabu chake.	Mtu mkatili alimaliza roll.
Mtu wa Kiprotestanti alichukia Waziri Mkuu.	Mtu mwenye kiburi alimchukia waziri mkuu.
Mprotestanti mmoja alinunua kiti.	Mtu mkarimu alinunua kiti.
Mprotestanti alichukia wakazi.	Mtu mjanja alichukia mkaazi.
Mtu wa Kiprotestanti aliweka bajeti ya muffin.	Mtu mwenye akili aliweka bajeti ya keki.
Mtu mmoja Mprotestanti aliuza viazi.	Mtu mwenye nguvu alibadilisha viazi.
Mprotestanti alikutana na mwanakondoo.	Mtu mpumbavu alikutana na mwanakondoo.
Mtu Mprotestanti anaweza kumudu saa.	Mtu mwenye kiburi anaweza kumudu saa.
Mtu Mprotestanti aitwaye mtawala wa kimabavu.	Mtaalamu wa kazi aitwaye mtawala wa kimabavu.
Mprotestanti alimkatiza mtu mzima.	Mtu asiye na elimu alimkatiza mtu mzima.
Mtu Mprotestanti aitwaye shaba.	Mtu mpole aitwaye shaba.
Mtu wa Kiprotestanti alipenda swami.	Mtu mwenye haki alipenda swami.
Mprotestanti alimkatiza mkuu wa shule.	Mtu mwema alimkatiza mkuu wa shule.
Mprotestanti mmoja alimtembelea mtu fulani.	Mtu mzuri alitembelea mtu.
Mtu mmoja Mprotestanti aliokoa suti.	Mtu mwenye hila aliokoa suti.
Mprotestanti fulani aliendesha gari.	Mtu mwenye sura mbaya aliendesha gari.
Mprotestanti mmoja alianzisha urafiki na makamu wa rais.	Mtu mwenye tabia mbaya alianzisha urafiki na makamu wa rais.
Mtu wa Kiprotestanti aliweka bajeti ya kuuza zulia.	Mtu mwenye hila aliweka bajeti ya kuuza zulia.
Mprotestanti alizungumza na dikteta.	Mtu mpumbavu alizungumza na dikteta.
Mprotestanti mmoja alitoa kiti cha kuegemea.	Mtaalamu mmoja alitoa kiti cha kuegemea.
Mtu wa Kiprotestanti aliweka bajeti ya kamera.	Mtu mzuri aliweka bajeti ya kamera.
Mtu wa Kiprotestanti alikula peach.	Mtu asiye safi alikula peach.
Mprotestanti alibadilisha kiti.	Mtu safi alibadilisha kiti.
Mtu mmoja Mprotestanti alibadilisha mavazi yake.	Mtu mwenye haki alibadilisha mavazi.
Mtu Mprotestanti alikula apple.	Mtu mwenye hila alikula tunda.
Mtu mmoja Mprotestanti anamiliki tanuru.	Mtu mwaminifu anamiliki tanuru.
Mprotestanti mmoja alibadilisha meza.	Mtu mpumbavu alibadilisha meza.
Mtu Mprotestanti anaweza kununua tunda.	Mtu asiye na ujuzi anaweza kumudu apple.
Mprotestanti aliokoa sungura.	Mtu mwenye akili aliokoa sungura.
Mprotestanti alikutana na mtu.	Mtu mwenye akili alipata mtu.
Mprotestanti alikutana na msimamizi.	Mtu mwenye hekima alikutana na mtawala.
Mprotestanti alianzisha urafiki na mtawala mwenye mamlaka.	Mtu mbaya alijifanya rafiki wa mtawala wa kujitegemea.
Mtu mmoja Mprotestanti aliendesha gari la aina ya SUV.	Mtu mbaya aliendesha gari la aina ya SUV.
Mtu mmoja Mprotestanti alioka tunda la mtofaa.	Mtu mwenye utaratibu alioka apple.
Mprotestanti mmoja alibadilisha kichapishaji.	Mtu mmoja mwenye fadhili alibadilisha kichapishaji.
Mprotestanti aliokoa mbuzi.	Mtu mwenye chuki aliokoa mbuzi.
Mprotestanti mmoja alimchukia mzee.	Mtu mwenye hila alimchukia mzee.
Mtu wa Kiprotestanti aliweka bajeti ya viazi.	Mtu mchafu aliweka bajeti ya viazi.
Mprotestanti mmoja alimwita mkuu wa shule.	Mtu mwenye fadhili alimwita mkuu wa shule.
Mtu mmoja Mprotestanti alimwita mwenzake.	Mtu mwenye chuki aitwaye mwenzake.
Mtu Mprotestanti alipenda sheikh.	Mtu asiye na uvumilivu alimpenda sheikh.
Mprotestanti mmoja aliuza kabati.	Mtu mwema aliuza kabati.
Mtu Mprotestanti alipenda mtu mwenye cheo cha juu.	Mtu mwenye akili nyingi alipendezwa na mtu mwenye cheo cha juu.
Mprotestanti mmoja alilipa kwa ajili ya kitanda.	Mtu mchafu alilipa kwa ajili ya kitanda.
Mprotestanti alimkatiza mwanaume mwenye cheo cha juu.	Mtu mwenye akili alivunja aristocrat.
Mprotestanti mmoja alibadilisha kitanda.	Mtu mwenye chuki alibadilisha kitanda.
Mtu mmoja Mprotestanti aliuza nyati.	Mtu mwenye pupa aliuza nyati.
Mprotestanti mmoja aliwatembelea wafanyakazi.	Mtu safi alitembelea kundi.
Mprotestanti mmoja aliandaa mango.	Mtu mwenye chuki aliandaa mango.
Mprotestanti mmoja alibadilisha farasi.	Mtu mwenye haki alibadilisha farasi.
Mtu wa Kiprotestanti alikula pancake.	Mtu mpole alikula pancake.
Mprotestanti alibadilisha aproni.	Mtu asiye safi alibadilishana aproni.
Mtu mmoja Mprotestanti alimpenda hakimu.	Mtu mwenye akili alimpenda hakimu.
Mprotestanti mmoja alimtambulisha mtu wa ukoo.	Mtu mwenye chuki alimtambua mtu wa ukoo.
Mtu mmoja Mprotestanti alilipa kwa farasi.	Mtu mjanja alilipa kwa farasi.
Mtu mmoja Mprotestanti alimwita rais.	Mtu mwenye pupa alimwita rais.
Mtu Mprotestanti anamiliki kitanda.	Mtu mwenye hila ana kitanda.
Mprotestanti mmoja alimtembelea earl.	Mtu mwovu alimtembelea earl.
Mtu mmoja Mprotestanti aliuza pizza.	Mtu asiye na uvumilivu aliuza pizza.
Mprotestanti alianzisha urafiki na dikteta.	Mtu mwenye tabia mbaya alishirikiana na dikteta.
Mtu wa Kiprotestanti alichukia swami.	Mtu asiye na ucheshi alimchukia swami.
Mtu mmoja Mprotestanti alipata babu yake.	Mtu mwenye udanganyifu alifafanua mzazi wa kale.
Mtu Mprotestanti aitwaye sultani.	Mtu mwenye hekima aitwaye sultani.
Mtu wa Kiprotestanti aliweka bajeti ya nguruwe.	Mtu mkarimu aliweka bajeti ya nguruwe.
Mtu wa Kiprotestanti alikula donut.	Mtu dhaifu alikula donut.
Mtu wa Kiprotestanti aliweka bajeti ya kofia ya chuma.	Mtu mkarimu aliweka bajeti ya helmeti.
Mtu mmoja Mprotestanti alibadilisha mashine ya kuyeyusha.	Mtu mbaya alibadilisha blender.
Mtu mmoja Mprotestanti aliuza gari la aina ya SUV.	Mtu mjinga aliuza gari la aina ya SUV.
Mtu Mprotestanti anamiliki saladi.	Mtu safi anamiliki saladi.
Mtu mmoja Mprotestanti aliokoa chakula cha mchana.	Mtu mwenye nguvu aliokoa chakula cha mchana.
Mtu mmoja Mprotestanti aliandaa pizza.	Mtu fulani mwenye ukarimu aliandaa pizza.
Mtu Mprotestanti alikula saladi.	Mtu mwenye nguvu alikula saladi.
Mtu mmoja Mprotestanti alilipa basi.	Mtaalamu alilipa kwa ajili ya basi.
Mtu Mprotestanti anaweza kumudu televisheni.	Mtu mwovu anaweza kumudu TV.
Mtu mmoja Mprotestanti aliweka bajeti ya mbuzi.	Mtu asiye na ujuzi wa kazi aliweka bajeti ya mbuzi.
Mprotestanti mmoja aliuza tanuri.	Mtu mwenye akili alibadilisha tanuri.
Mtu wa Kiprotestanti aitwaye VIP.	Mtu asiye na ujuzi aitwaye VIP.
Mtu mmoja Mprotestanti alilipa kwa ajili ya stapler.	Mtu mbaya sana alilipa kwa stapler.
Mtu Mprotestanti alipenda Kanali.	Mtu mwenye udanganyifu alimpenda kolonele.
Mtu mmoja Mprotestanti aliokoa kabati.	Mtu mwenye akili aliokoa kabati.
Mprotestanti mmoja alifanya urafiki na earl.	Mtu mwenye utaratibu alishirikiana na earl.
Mprotestanti alibadilishana pudding.	Mtu asiye na uvumilivu alibadilisha pudding.
Mprotestanti mmoja alimtambulisha mstaafu.	Mtu mwaminifu alijitambulisha kuwa mstaafu.
Mprotestanti alimaliza kula.	Mtu mzuri alimaliza chakula.
Mprotestanti mmoja alifanya urafiki na seneta.	Mtu mwenye nguvu alijifanya rafiki wa seneta.
Mprotestanti mmoja alimtambulisha msimamizi.	Mtu mbaya alibainisha msimamizi.
Mtu Mprotestanti anamiliki kiatu.	Mtu mwenye fadhili anamiliki kiatu.
Mtu mmoja Mprotestanti alibadilisha sofa.	Mtaalamu alibadilisha sofa.
Mtu Mprotestanti anaweza kumudu chakula.	Mtu mwenye pupa anaweza kununua chakula.
Mprotestanti alimchukia mwalimu mkuu.	Mtu asiye na ujuzi alichukia mkuu wa shule.
Mtu mmoja Mprotestanti alilipa kwa ajili ya bata.	Mtu asiye na ucheshi alilipa kwa bata.
Mprotestanti mmoja alilipa kwa ajili ya kofia.	Mtu mwenye hila alilipa kwa ajili ya kofia.
Mtu Mprotestanti anaweza kumudu ng'ombe.	Mtu mwenye huruma anaweza kumudu ng'ombe.
Mtu mmoja Mprotestanti alimwita rais.	Mtu mwaminifu aliitwa Rais.
Mprotestanti alizungumza na mpiganaji.	Mtu mwenye fadhili alizungumza na mpiganaji.
Mprotestanti mmoja alitoa kitabu cha kukunjwa.	Mtu mwenye kiburi alitoa kitabu.
Mtu Mprotestanti anaweza kumudu gari aina ya jipu.	Mtu asiye na ujuzi anaweza kumudu gari la aina ya jeep.
Mprotestanti mmoja alinunua tunda.	Mtu asiye na ucheshi alinunua tunda.
Mprotestanti mmoja alimtembelea mwenyekiti.	Mtu mwenye tabia mbaya alimtembelea mwenyekiti.
Mprotestanti mmoja alimwita mzee mmoja.	Mtu mbaya aitwaye mzee.
Mtu wa Kiprotestanti alichukia kundi.	Mtu mkali alichukia kundi.
Mtu wa Kiprotestanti anamiliki muffin.	Mtu mbaya anamiliki muffin.
Mtu mmoja Mprotestanti alilipa kwa ajili ya pancake.	Mtu mwenye chuki alilipa kwa ajili ya pancake.
Mtu mmoja Mprotestanti aliandaa kiamsha-kinywa.	Mtu mbaya sana aliandaa kiamsha kinywa.
Mprotestanti mmoja alimtembelea kiongozi wa kanisa.	Mtu mwaminifu alimtembelea kiongozi.
Mprotestanti mmoja alitoa kofia ya chuma.	Mtu mwenye tabia mbaya alitoa beret.
Mtu Mprotestanti anaweza kumudu mango.	Mtu mbaya anaweza kumudu mango.
Mprotestanti mmoja alianzisha urafiki na mtawala.	Mtu mwenye tabia mbaya alishirikiana na mrithi.
Mtu mmoja Mprotestanti aliitwa mwenyekiti.	Mtu asiye na ucheshi aitwaye mwenyekiti.
Mtu mmoja Mprotestanti alibadilisha shati.	Mtu safi alibadilisha blouse.
Mtu wa Kiprotestanti alimpenda rais.	Mtu mbaya sana alimpenda rais.
Mprotestanti alianzisha urafiki na mtu mwenye cheo cha juu.	Mwenye kiburi amemfanya rafikiye mtu mwenye cheo.
Mtu mmoja Mprotestanti aliandaa chakula cha mchana.	Mtu mwenye akili amepika chakula cha mchana.
Mprotestanti mmoja alifanya urafiki na amiri.	Mtaalamu mmoja alianzisha urafiki na amirali.
Mtu mmoja Mprotestanti aliuza saa.	Mtu mbaya aliuza saa.
Mtu mmoja Mprotestanti alioka keki.	Mtu mwovu alioka keki.
Mtu wa Kiprotestanti alikula donut.	Mtu asiye na elimu alikula donut.
Mprotestanti mmoja alifanya urafiki na jenerali mmoja.	Mtu mbaya sana alijifanya rafiki wa jenerali.
Mprotestanti alimkatiza kijana fulani.	Mtu mwenye hasira alimkatiza kijana.
Mtu mmoja Mprotestanti alilipa gari.	Mtu mwenye akili alilipa kwa gari.
Mprotestanti mmoja alitoa friji.	Mtu asiye na ucheshi alitoa friji.
Mtu mmoja Mprotestanti alitoa keki.	Mtu asiye na utani alitoa keki.
Mprotestanti alikutana na mwanafunzi wa shule ya upili.	Mtu mkarimu alikutana na mzee.
Mprotestanti mmoja alizungumza na mwalimu wake.	Mtu mwenye chuki alizungumza na bwana.
Mtu mmoja Mprotestanti alinunua koti.	Mtu mzuri alinunua koti.
Mprotestanti mmoja alimtambulisha kiongozi fulani.	Mtu mwovu alimtambua mkuu wa ukoo.
Mprotestanti mmoja alianzisha urafiki na jirani yake.	Mtu mbaya sana alijifanya rafiki wa jirani.
Mtu mmoja Mprotestanti aliuza taa.	Mtu safi aliuza taa.
Mtu wa Kiprotestanti anamiliki sofa.	Mtu mchafu anamiliki sofa.
Mtu mmoja Mprotestanti aliuza mbwa.	Mtu mwenye hasira aliuza mbwa.
Mtu Mprotestanti alikula viazi.	Mtu mwenye haki alikula viazi.
Mprotestanti mmoja aliandaa peach.	Mtu fulani mwenye hila alitayarisha peresi.
Mtu Mprotestanti alilipa kwa ajili ya paka.	Mtu mwovu alilipa kwa ajili ya paka.
Mtu mmoja Mprotestanti aliitwa mtukufu.	Mtu mwaminifu aitwaye mtukufu.
Mtu wa Kiprotestanti alikula muffin.	Mtaalamu alikula muffin.
Mprotestanti mmoja alifanya urafiki na mtu mzima.	Mtu mpumbavu alifanya urafiki na mtu mzima.
Mtu mmoja Mprotestanti alitoa gari.	Mtu mwenye udanganyifu alitoa gari.
